scenario,location,pollutant,model,params
1,Brera,C6H6,Random Forest,"rf__max_depth: 7, rf__n_estimators: 100"
1,Brera,C6H6,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Brera,C6H6,Ridge Regression,ridge__alpha: 0.1
1,Brera,C6H6,Support Vector Machine,"svr__C: 1, svr__epsilon: 0.1, svr__kernel: rbf"
1,Brera,NO2,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
1,Brera,NO2,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Brera,NO2,Ridge Regression,ridge__alpha: 0.1
1,Brera,NO2,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.1, svr__kernel: rbf"
1,Brera,O3,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
1,Brera,O3,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Brera,O3,Ridge Regression,ridge__alpha: 0.1
1,Brera,O3,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.1, svr__kernel: rbf"
1,Brera,PM10,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
1,Brera,PM10,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Brera,PM10,Ridge Regression,ridge__alpha: 0.1
1,Brera,PM10,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
1,Brera,PM25,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
1,Brera,PM25,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Brera,PM25,Ridge Regression,ridge__alpha: 0.1
1,Brera,PM25,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
1,Citta Studi,C6H6,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
1,Citta Studi,C6H6,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Citta Studi,C6H6,Ridge Regression,ridge__alpha: 0.1
1,Citta Studi,C6H6,Support Vector Machine,"svr__C: 1, svr__epsilon: 0.1, svr__kernel: rbf"
1,Citta Studi,NO2,Random Forest,"rf__max_depth: 7, rf__n_estimators: 100"
1,Citta Studi,NO2,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Citta Studi,NO2,Ridge Regression,ridge__alpha: 0.1
1,Citta Studi,NO2,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.2, svr__kernel: rbf"
1,Citta Studi,O3,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
1,Citta Studi,O3,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Citta Studi,O3,Ridge Regression,ridge__alpha: 0.1
1,Citta Studi,O3,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
1,Citta Studi,PM10,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
1,Citta Studi,PM10,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Citta Studi,PM10,Ridge Regression,ridge__alpha: 0.1
1,Citta Studi,PM10,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.1, svr__kernel: rbf"
1,Citta Studi,PM25,Random Forest,"rf__max_depth: 7, rf__n_estimators: 100"
1,Citta Studi,PM25,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Citta Studi,PM25,Ridge Regression,ridge__alpha: 0.1
1,Citta Studi,PM25,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
1,Montalbino,C6H6,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
1,Montalbino,C6H6,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Montalbino,C6H6,Ridge Regression,ridge__alpha: 0.1
1,Montalbino,C6H6,Support Vector Machine,"svr__C: 1, svr__epsilon: 0.1, svr__kernel: rbf"
1,Montalbino,NO2,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
1,Montalbino,NO2,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Montalbino,NO2,Ridge Regression,ridge__alpha: 0.1
1,Montalbino,NO2,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
1,Montalbino,PM10,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
1,Montalbino,PM10,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Montalbino,PM10,Ridge Regression,ridge__alpha: 0.1
1,Montalbino,PM10,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.2, svr__kernel: rbf"
1,Montalbino,PM25,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
1,Montalbino,PM25,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
1,Montalbino,PM25,Ridge Regression,ridge__alpha: 0.1
1,Montalbino,PM25,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
2,Brera,C6H6,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
2,Brera,C6H6,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Brera,C6H6,Ridge Regression,ridge__alpha: 1
2,Brera,C6H6,Support Vector Machine,"svr__C: 1, svr__epsilon: 0.1, svr__kernel: rbf"
2,Brera,NO2,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
2,Brera,NO2,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Brera,NO2,Ridge Regression,ridge__alpha: 0.1
2,Brera,NO2,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.1, svr__kernel: rbf"
2,Brera,O3,Random Forest,"rf__max_depth: 7, rf__n_estimators: 100"
2,Brera,O3,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Brera,O3,Ridge Regression,ridge__alpha: 0.1
2,Brera,O3,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
2,Brera,PM10,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
2,Brera,PM10,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Brera,PM10,Ridge Regression,ridge__alpha: 0.1
2,Brera,PM10,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.2, svr__kernel: rbf"
2,Brera,PM25,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
2,Brera,PM25,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Brera,PM25,Ridge Regression,ridge__alpha: 0.1
2,Brera,PM25,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.1, svr__kernel: rbf"
2,Citta Studi,C6H6,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
2,Citta Studi,C6H6,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Citta Studi,C6H6,Ridge Regression,ridge__alpha: 0.1
2,Citta Studi,C6H6,Support Vector Machine,"svr__C: 1, svr__epsilon: 0.1, svr__kernel: rbf"
2,Citta Studi,NO2,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
2,Citta Studi,NO2,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Citta Studi,NO2,Ridge Regression,ridge__alpha: 0.1
2,Citta Studi,NO2,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.2, svr__kernel: rbf"
2,Citta Studi,O3,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
2,Citta Studi,O3,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Citta Studi,O3,Ridge Regression,ridge__alpha: 0.1
2,Citta Studi,O3,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
2,Citta Studi,PM10,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
2,Citta Studi,PM10,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Citta Studi,PM10,Ridge Regression,ridge__alpha: 0.1
2,Citta Studi,PM10,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
2,Citta Studi,PM25,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
2,Citta Studi,PM25,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Citta Studi,PM25,Ridge Regression,ridge__alpha: 0.1
2,Citta Studi,PM25,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
2,Montalbino,C6H6,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
2,Montalbino,C6H6,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 5, gb__n_estimators: 100"
2,Montalbino,C6H6,Ridge Regression,ridge__alpha: 0.1
2,Montalbino,C6H6,Support Vector Machine,"svr__C: 1, svr__epsilon: 0.1, svr__kernel: rbf"
2,Montalbino,NO2,Random Forest,"rf__max_depth: 7, rf__n_estimators: 100"
2,Montalbino,NO2,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Montalbino,NO2,Ridge Regression,ridge__alpha: 0.1
2,Montalbino,NO2,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
2,Montalbino,PM10,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
2,Montalbino,PM10,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Montalbino,PM10,Ridge Regression,ridge__alpha: 0.1
2,Montalbino,PM10,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
2,Montalbino,PM25,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
2,Montalbino,PM25,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
2,Montalbino,PM25,Ridge Regression,ridge__alpha: 0.1
2,Montalbino,PM25,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
3,Brera,C6H6,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
3,Brera,C6H6,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
3,Brera,C6H6,Ridge Regression,ridge__alpha: 10
3,Brera,C6H6,Support Vector Machine,"svr__C: 1, svr__epsilon: 0.1, svr__kernel: rbf"
3,Brera,NO2,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
3,Brera,NO2,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 7, gb__n_estimators: 300"
3,Brera,NO2,Ridge Regression,ridge__alpha: 0.1
3,Brera,NO2,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
3,Brera,O3,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
3,Brera,O3,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
3,Brera,O3,Ridge Regression,ridge__alpha: 0.1
3,Brera,O3,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: linear"
3,Brera,PM10,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
3,Brera,PM10,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 5, gb__n_estimators: 100"
3,Brera,PM10,Ridge Regression,ridge__alpha: 0.1
3,Brera,PM10,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.1, svr__kernel: rbf"
3,Brera,PM25,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
3,Brera,PM25,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
3,Brera,PM25,Ridge Regression,ridge__alpha: 1
3,Brera,PM25,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.2, svr__kernel: linear"
3,Citta Studi,C6H6,Random Forest,"rf__max_depth: 7, rf__n_estimators: 100"
3,Citta Studi,C6H6,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 5, gb__n_estimators: 100"
3,Citta Studi,C6H6,Ridge Regression,ridge__alpha: 0.1
3,Citta Studi,C6H6,Support Vector Machine,"svr__C: 1, svr__epsilon: 0.1, svr__kernel: rbf"
3,Citta Studi,NO2,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
3,Citta Studi,NO2,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 5, gb__n_estimators: 100"
3,Citta Studi,NO2,Ridge Regression,ridge__alpha: 10
3,Citta Studi,NO2,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: rbf"
3,Citta Studi,O3,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
3,Citta Studi,O3,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 3, gb__n_estimators: 100"
3,Citta Studi,O3,Ridge Regression,ridge__alpha: 0.1
3,Citta Studi,O3,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.1, svr__kernel: rbf"
3,Citta Studi,PM10,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
3,Citta Studi,PM10,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 5, gb__n_estimators: 200"
3,Citta Studi,PM10,Ridge Regression,ridge__alpha: 0.1
3,Citta Studi,PM10,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.1, svr__kernel: rbf"
3,Citta Studi,PM25,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
3,Citta Studi,PM25,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 5, gb__n_estimators: 300"
3,Citta Studi,PM25,Ridge Regression,ridge__alpha: 0.1
3,Citta Studi,PM25,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: linear"
3,Montalbino,C6H6,Random Forest,"rf__max_depth: 7, rf__n_estimators: 100"
3,Montalbino,C6H6,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 5, gb__n_estimators: 100"
3,Montalbino,C6H6,Ridge Regression,ridge__alpha: 0.1
3,Montalbino,C6H6,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.1, svr__kernel: rbf"
3,Montalbino,NO2,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
3,Montalbino,NO2,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 7, gb__n_estimators: 300"
3,Montalbino,NO2,Ridge Regression,ridge__alpha: 0.1
3,Montalbino,NO2,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.2, svr__kernel: rbf"
3,Montalbino,PM10,Random Forest,"rf__max_depth: 7, rf__n_estimators: 200"
3,Montalbino,PM10,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 5, gb__n_estimators: 100"
3,Montalbino,PM10,Ridge Regression,ridge__alpha: 0.1
3,Montalbino,PM10,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.1, svr__kernel: rbf"
3,Montalbino,PM25,Random Forest,"rf__max_depth: 7, rf__n_estimators: 300"
3,Montalbino,PM25,Gradient Boosting,"gb__learning_rate: 0.1, gb__max_depth: 5, gb__n_estimators: 200"
3,Montalbino,PM25,Ridge Regression,ridge__alpha: 0.1
3,Montalbino,PM25,Support Vector Machine,"svr__C: 10, svr__epsilon: 0.5, svr__kernel: linear"
